,n_id,x,y,geometry,elevation,n_demand,dw_demand,lat,lon,cluster
146,R255,1175387.461450208,-1307954.5686506715,POINT (1175387.461450208 -1307954.5686506715),84.72122192382812,3,38.366995153970784,32.4384265,-87.4960495,0
147,R136,1175290.239869251,-1307974.439841968,POINT (1175290.239869251 -1307974.439841968),83.98584747314453,2,44.08206883303632,32.4433697,-87.4971186,0
148,R113,1175489.0246807735,-1307935.6679263965,POINT (1175489.0246807735 -1307935.6679263965),88.22431182861328,2,41.8600884042457,32.443604,-87.494901,4
149,R362,1173715.555591141,-1308496.5338720968,POINT (1173715.555591141 -1308496.5338720968),78.61328887939453,3,40.87546619979608,-87.51439392037965,32.43578900080872,1
150,R363,1173814.013425314,-1308479.295758542,POINT (1173814.013425314 -1308479.295758542),81.61351776123047,4,58.01613403548488,-87.51333363949331,32.43581334578071,1
151,R262,1173974.882474734,-1308438.5993368987,POINT (1173974.882474734 -1308438.5993368987),84.39141845703125,0,0.0,32.4355972,-87.511417,-1
152,R146,1173578.5914483783,-1308622.7677317774,POINT (1173578.5914483783 -1308622.7677317774),74.97870635986328,0,0.0,32.434842,-87.516008,0
153,R45,1173242.3997010281,-1307037.9996317858,POINT (1173242.3997010281 -1307037.9996317858),81.96463012695312,0,0.0,32.4493754,-87.5182818,0
154,R166,1173242.3997010281,-1307037.9996317858,POINT (1173242.3997010281 -1307037.9996317858),81.96463012695312,0,0.0,32.4494361,-87.517392,0
155,R167,1172967.9956838717,-1307085.8214748844,POINT (1172967.9956838717 -1307085.8214748844),74.78763580322266,5,75.40832141465353,32.4493803,-87.5188286,0
156,R46,1172798.599353137,-1306481.4459768462,POINT (1172798.599353137 -1306481.4459768462),81.44477844238281,7,96.63860224956716,32.4554777,-87.5214069,0
157,R296,1172911.2947664543,-1306468.4605443412,POINT (1172911.2947664543 -1306468.4605443412),83.8333740234375,3,39.17711997755598,32.4549899,-87.521309,0
158,R272,1173557.9071326961,-1309882.9325660132,POINT (1173557.9071326961 -1309882.9325660132),83.76522827148438,0,0.0,32.4247904,-87.5188158,-1
159,R364,1173859.7722845587,-1307980.162554742,POINT (1173859.7722845587 -1307980.162554742),83.66397094726562,12,139.09376751385417,-87.51217239289355,32.440210267687576,0
160,R50,1173752.614971215,-1307980.9824295545,POINT (1173752.614971215 -1307980.9824295545),79.31517791748047,7,101.53914192592968,32.440064,-87.511132,0
161,R148,1173840.8861801815,-1307869.759614263,POINT (1173840.8861801815 -1307869.759614263),82.2889404296875,4,52.114238007496866,32.441255,-87.513311,0
162,R51,1173470.1088834174,-1308654.0952132777,POINT (1173470.1088834174 -1308654.0952132777),76.0376968383789,3,35.73968527617435,32.434465,-87.517203,0
163,R52,1173394.1426567605,-1308668.0880855883,POINT (1173394.1426567605 -1308668.0880855883),76.32958984375,1,15.595592206820852,32.434699,-87.517502,0
164,R92,1173488.7264123193,-1308776.8850680087,POINT (1173488.7264123193 -1308776.8850680087),77.81492614746094,3,32.79480346505771,32.433584,-87.517164,0
165,R100,1173581.2137930326,-1308640.858574483,POINT (1173581.2137930326 -1308640.858574483),75.2610092163086,0,0.0,32.434705,-87.517193,0
166,R78,1173430.1415493903,-1308959.9866163316,POINT (1173430.1415493903 -1308959.9866163316),81.72504425048828,1,10.839867444694882,32.43468,-87.518012,0
167,R53,1173413.1410662343,-1307274.860689141,POINT (1173413.1410662343 -1307274.860689141),83.98478698730469,4,214.66047040047627,32.447139,-87.5174,0
168,R54,1173274.2739246194,-1307290.5431948658,POINT (1173274.2739246194 -1307290.5431948658),82.0174331665039,6,112.14116391800735,32.448127,-87.517435,0
169,R176,1173153.794181631,-1307176.7139424437,POINT (1173153.794181631 -1307176.7139424437),74.92096710205078,10,132.9514719760484,32.447166,-87.518509,0
170,R122,1173413.1410662343,-1307274.860689141,POINT (1173413.1410662343 -1307274.860689141),83.98478698730469,0,0.0,32.4470963,-87.5159161,0
171,R365,1172773.0204828426,-1307115.9312788593,POINT (1172773.0204828426 -1307115.9312788593),72.64872741699219,0,0.0,-87.52244171927832,32.449357705396665,0
172,R168,1172967.9956838717,-1307085.8214748844,POINT (1172967.9956838717 -1307085.8214748844),74.78763580322266,0,0.0,32.449362,-87.52138,0
173,R57,1173525.5133087472,-1308272.2416583747,POINT (1173525.5133087472 -1308272.2416583747),75.05240631103516,3,55.35059644956639,32.437371,-87.519103,1
174,R366,1173426.2981961144,-1308284.4838290229,POINT (1173426.2981961144 -1308284.4838290229),74.4748764038086,0,0.0,-87.51715148441247,32.43806323660615,1
